7/27/2017 4:54:23 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/27/2017 5:01:15 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/27/2017 5:02:35 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 5:03:25 PM ==> UserID: 1 || Data: 7/27/2017 5:03:25 PM || Operacja wykonana: dodanie pola opisowego: Opis do tabeli Assets
7/27/2017 5:03:31 PM ==> UserID: 1 || Data: 7/27/2017 5:03:31 PM || Operacja wykonana: dodanie pola opisowego: Opis_2 do tabeli Assets
7/27/2017 5:03:34 PM ==> UserID: 1 || Data: 7/27/2017 5:03:34 PM || Operacja wykonana: dodanie pola opisowego: Opis_3 do tabeli Assets
7/27/2017 5:04:27 PM ==> UserID: 1 || Data: 7/27/2017 5:04:27 PM || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 1 w tabeli Assets
7/27/2017 5:05:03 PM ==> UserID: 1 || Data: 7/27/2017 5:05:03 PM || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 3 w tabeli Assets
7/27/2017 5:05:43 PM ==> UserID: 1 || Data: 7/27/2017 5:05:43 PM || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 5 w tabeli Assets
7/27/2017 5:06:12 PM ==> UserID: 1 || Data: 7/27/2017 5:06:12 PM || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 6 w tabeli Assets
7/27/2017 5:06:37 PM ==> UserID: 1 || Data: 7/27/2017 5:06:37 PM || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 7 w tabeli Assets
7/27/2017 5:07:08 PM ==> UserID: 1 || Data: 7/27/2017 5:07:08 PM || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 7 w tabeli Assets
7/27/2017 5:07:27 PM ==> UserID: 1 || Data: 7/27/2017 5:07:27 PM || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 5 w tabeli Assets
7/27/2017 5:08:27 PM ==> UserID: 1 || Data: 7/27/2017 5:08:27 PM || Operacja wykonana: aktualizacja danych o przedmiocie z ID: 6 w tabeli Assets
7/27/2017 5:08:35 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/27/2017 5:21:41 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/27/2017 5:21:46 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 3
7/27/2017 5:22:10 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 5:22:22 PM ==> UserID:  || Operacja wykonana: wygenerowanie raportu z aktualnie wypożyczonym sprzętem
7/27/2017 5:24:17 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 5:29:40 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 5:31:24 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 5:31:28 PM ==> UserID:  || Operacja wykonana: wygenerowanie raportu z aktualnie wypożyczonym sprzętem
7/27/2017 5:32:21 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 5:32:25 PM ==> UserID:  || Operacja wykonana: wygenerowanie raportu z aktualnie wypożyczonym sprzętem
7/27/2017 5:35:25 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/27/2017 5:35:32 PM ==> UserID:  || Operacja wykonana: wygenerowanie raportu z aktualnie dostępnym sprzętem
7/28/2017 1:49:54 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 1:52:56 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 2:11:20 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 2:11:26 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 6
7/28/2017 2:11:43 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 2:14:44 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 2:41:24 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 2:41:30 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/28/2017 2:41:33 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 3
7/28/2017 2:41:34 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 6
7/28/2017 2:42:56 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 2:43:35 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 1
7/28/2017 2:47:53 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 2:50:02 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 2:51:59 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 2:53:00 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 3:06:41 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 3:07:35 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 3:10:02 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 3:46:24 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 3:48:06 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 3:51:28 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 3:56:26 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/28/2017 3:57:43 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 1
7/28/2017 3:58:28 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 5:25:02 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/28/2017 5:26:53 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/29/2017 12:48:54 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/29/2017 12:49:53 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/29/2017 1:06:43 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/29/2017 2:07:32 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/29/2017 2:09:49 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/29/2017 2:11:34 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 5:22:52 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 5:30:35 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 5:31:36 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 5:31:49 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji na sprzęcie
7/30/2017 5:32:21 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/30/2017 5:32:27 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 3
7/30/2017 5:32:31 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 6
7/30/2017 5:32:48 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 5:33:04 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji na sprzęcie
7/30/2017 5:33:38 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji na sprzęcie
7/30/2017 5:34:06 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji na sprzęcie
7/30/2017 5:34:38 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji na sprzęcie
7/30/2017 5:35:37 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 5:35:48 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji na sprzęcie
7/30/2017 6:13:18 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 6:14:05 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji na sprzęcie
7/30/2017 6:17:14 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 6:17:21 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji dla sprzętu o ID: 1
7/30/2017 6:17:36 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/30/2017 6:17:44 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/30/2017 6:18:00 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 6:22:40 PM ==> UserID: 3 || Operacja wykonana: zalogowanie.
7/30/2017 6:22:47 PM ==> UserID: 3 || Operacja wykonana: wypożyczenie przedmiotu o ID: 1
7/30/2017 6:22:55 PM ==> UserID: 3 || Operacja wykonana: zwrot przedmiotu o ID: 1
7/30/2017 6:23:08 PM ==> UserID: 1 || Operacja wykonana: zalogowanie.
7/30/2017 6:23:19 PM ==> UserID:  || Operacja wykonana: wygenerowanie historii operacji dla sprzętu o ID: 1
